Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,509.220100485356,519.888912573073,493.756581366026,507.103391875763,508.808409485223
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4124.05572595352,4531.02080555986,5284.38018438156,5355.84779459031,5215.27675237003
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3946.45242459305,4109.70344220826,4153.95623446741,3975.5089933335,3310.38653352368
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12038.2496994923,11003.8297642807,11557.671156308,11534.5675441134,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37475.6350587526,38964.904478265,41791.9698372411,40897.3308728669,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1895.77086891313
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,15198.7429664112,15383.5763979856,16673.4369025555,17113.3497705088,14449.9965204973
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12790.2424732447,14613.041824658,11633.4980086503,9912.28180859863,8441.9194391094
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3591.82805221639,3914.52785436696,4220.54032079145,4622.73818208855,4267.45211938157
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,28452.1706146796,29350.8050189137,30253.2793580195,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,49971.131456129,54027.9668184568,57354.9640455891,55057.2046960666,51812.1540373988
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,45276.8314351693,47309.3662735282,51453.1470238016,50121.5542131186,48105.3646248411
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4214.3113363475
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,31563.3078695925,32719.6665872078,33767.9411879108,34863.3840497476,28607.9013752136
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22608.4525623673,23742.9373424159,23991.0413905597,23443.4348283266,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1401.56463513179,1563.76781861826,1698.13208078712,1855.6915096678,1968.79222484581
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16900.0482858522,17391.6689084614,17745.2553725928,18148.4978451054,15191.1640353411
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5022.62664330491,5761.74712023007,6330.0752464187,6839.10383292452,6411.2278131981
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,41984.1030335609,44089.3100875118,47554.7463078937,46414.4352334354,44594.3781075628
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4856.97324853112,4945.85769867226,5001.42215663433,5078.80994441772,4435.62115419432
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1087.28730384853,1136.59397046254,1240.83096186066,1219.51547853535,1291.04096203645
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,106885.878489327,111820.581466347,113023.185594268,117098.446325474,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2930.5749227006,3286.59674376682,3243.47743748718,3316.16702210577,3122.37606234724
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3076.65643933721,3351.12434432642,3548.59078021899,3552.06814383653,3143.04549424189
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4994.68904038619,5394.57995305594,6072.18462285304,6120.11262579357,6031.55686867658
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7243.93397430839,7893.41867148033,8279.81845660293,7970.79696800641,6710.990411266
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8710.09677403838,9928.6430632111,9151.44525254365,8897.48777044292,6796.84454227877
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27158.4056535724,28571.608291419,31628.4762566009,31085.9618860822,27466.3396414199
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7548.85500737534,8334.08172775332,9427.73043039881,9828.14851478139,9975.78000070924
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,688.250696258197,734.996267960528,813.099689441984,786.895437677452,830.925144621939
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,282.193028464612,292.998009548647,271.752496382505,261.24529116164,274.009523229095
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3130.99875340636,3292.63350335797,3617.34744544679,3603.77524058462,3064.27238842819
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1269.59149895221,1385.26006616159,1512.12698889457,1643.12138876475,1512.72775264685
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1364.32954020397,1425.10636777271,1534.49224145452,1507.44979812212,1499.37284272297
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,42315.6037056806,45129.3564395662,46454.7433947203,46326.6726375572,43241.6178282827
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,78471.6287315261,81513.1630224977,86059.7392168454,91392.6425875166,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,402.191634907492,450.900697005339,475.953849512777,467.908021751942,476.851112719857
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,693.449767448537,665.948884859102,726.151007088549,709.54004317463,614.465189935689
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13753.592148512,14998.8170563212,15888.144355398,14741.7144039954,13231.7042069383
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,8147.93770549385,8879.43866711453,9976.677137263,10216.6303341031,10500.3956159637
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5870.77795724164,6376.70671552601,6729.58333198168,6424.9794924083,5332.77352412685
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1273.05091964368,1323.81495794544,1415.95516376531,1370.14012347374,1402.59548928279
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,471.318822463486,467.07423172679,557.064411697928,580.716860516731,556.813185299175
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2039.45322287157,2173.68025252268,2601.41048286237,2359.17730900034,1972.54524619093
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12011.2227544174,12225.5744931385,12468.5752921871,12669.7060822563,12076.8145138494
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2013.38144761651,2111.02655726645,2314.05095836881,2276.3323939018,2325.72370502247
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,12361.4838303671,13451.6249479152,15014.0850191716,14944.3562248936,13828.4695048846
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,8060.79659761513,8541.21368643707,8824.19400843842,9099.67314552171,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,19555.3658492891,19457.5315232205,19630.8934873019,19701.270377457,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,24605.9208328767,26444.0743777801,29089.4713273857,28288.4615757198,26623.8008913181
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,18575.2320271915,20636.199952435,23419.7356136502,23490.3984633494,22762.1971366777
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,54663.9983719195,57610.0981801135,61598.5367043936,60213.0921454746,60908.8351349442
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,2802.18197126373,2914.37459548042,3141.87938930772,3414.93539272302,3425.50345047077
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,8080.96862341186,7274.517730717,7693.77145274166,8001.99709513435,6526.79321540707
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,7280.88361041225,7609.35327534023,8050.64407623416,8282.11713050921,7268.1969096591
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,6060.09296156791,6213.50312736888,6295.93466163992,6222.52465327248,5600.38961495341
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3519.8732398108,2444.29038718448,2537.12518504712,3019.09228346646,3547.87084813809
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3805.99568574434,3910.25596873198,4052.62477533742,4167.73093878563,3798.63652082321
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,9250.31649333951,9667.8578009346,10005.6167917268,8419.9333361253,7143.23870497146
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,18437.2528207173,20407.9273809157,23159.3924948461,23717.7994512337,23312.2763272181
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3425.52875915589,3914.42183869146,4105.89721234628,3894.66963029858,3415.45944624473
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,717.124869806118,768.523015429372,771.524866349431,855.760885186903,936.340461064749
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,56854.102653706,59993.0906266559,62918.1461936121,64225.2649049837,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,5651.27272132772,6101.02388950081,6317.43779853596,6175.87484121767,4881.52606919802
